gene_id,AKP_REP1,AKP_REP2,AKP_REP3,AKPE_REP1,AKPE_REP2,AKPE_REP3,AP_REP1,AP_REP2,AP_REP3
Cma2,0,1,2,0,1,1,1,1,0
Cmah,0,0,1,0,2,0,0,1,0
Cmas,3724,4109,3552,2802,4362,3920,6316,5979,5330
Cmbl,6,28,21,3,40,22,86,35,23
Cmc1,396.724,422.194,484.763,429.141,579.036,463.982,572.336,614.353,472.073
Cmc2,653,667,774,552,655,740,351,479,541
Cmc4,22.605,30.543,50.566,41.89,35.273,41.585,36.503,48.166,19
Cmip,3332,3069,4267,2735,3226,3617,4672,3365,2696
Cmklr1,0,0,0,0,0,0,1,0,0
Cml1,15,8,23,8,19,14,11,9,9
Cml2,20,6,26,14.077,12,10,22,14,12
Cml3,0,0,0,0,0,0,0,0,0
Cml5,0,0,0,2,0,0,0,0,0
Cmpk1,3764,3660,3826,3460,3415,3267,3340,4043,3352
Cmpk2,11,8,17,100,134,86,55,111,111
Cmss1,667,802,726,433,644,560,367,359,472
Cmtm1,0,0,0,0,0,0,0,0,0
Cmtm2a,0,0,0,0,0,0,0,0,0
Cmtm2b,0,0,0,0,0,0,0,0,0
Cmtm3,5,13,6,23,28,12,38,54,41
Cmtm4,6255,5992,8651,6913,6686,8620,5253,4365,5641
Cmtm5,0,0,0,0,0,0,0,0,0
Cmtm6,4258,4471,4176,3484,3954,3507,4413,4229,3951
Cmtm7,972,994,1174,1205,1321,1090,735,970,1217
Cmtm8,46,62,181,159,201,239,99,69,42
Cmtr1,2286.172,1756.226,2397.924,2041.052,2417.74,2063.751,1694.048,1798.668,1872.854
Cmtr2,801,692,914,706,768,819,592,671,648
Cmya5,0,0,0,2,2,1,1,0,2
Cnbd2,6,10,9.006,5,3,9,9,22,14
Cnbp,21343,22689,22978,20790,23238,19593,11816,17329,18036
Cndp1,0,0,0,0,0,0,1,0,0
Cndp2,2585,3178,3064,2952,3344,2865,2439,2790,3525
Cnep1r1,1025,1084,1232,872,846,1159,665,836,914
Cnfn,615,317,215,322,217,34,190,253,123
Cnga1,0,0,0,0,0,0,0,0,0
Cnga2,0,0,0,0,0,0,0,0,0
Cnga3,7,3,14,5,12,8,63,40,26
Cnga4,1,0,3,2,1,1,4,0,1
Cngb1,9,2,10,2,2,7,0,0,0
Cngb3,0,0,0,2,0,2,0,2,0
Cnih1,3195,3814,3677,3671,3554,3060,2665,3407,3227
Cnih2,8,3,5,4,4,6,1,3,0
Cnih3,3,0,7,4,0,4,0,0,2
Cnih4,1599,1735,2266,1775,2003,1935,1416,1549,1737
Cnksr1,805,758,720,576,536,437,602,629,734
Cnksr2,0,0,1,1,4,0,0,1,0
Cnksr3,658,620,674,445,655,486,375,318,403
Cnn1,2,2,3,0,2,2,2,1,2
Cnn2,4422,3658,3329,2918,3263,1978,3022,3343,3374
Cnn3,5415,5572,6465,8719,10263,8318,5222,7256,9073
Cnnm1,0,0,1,0,0,0,1,0,0
Cnnm2,50,60,63,90,98,92,153,70,68
Cnnm3,681,798,730,909,1089,767,787,721,890
Cnnm4,896,822,872,781,1039,743,814,800,1230
Cnot1,9046,7131.995,10970.001,10477,9315,9957,6935,5434,7342
Cnot10,1728,1961,2028,1788,2160,1763,1439,1606,1753
Cnot11,1436,1524,1640,1578,1693,1493,852,1210,1303
Cnot2,2219,1876.999,2291,2492,2328.999,2025,1872,1913,2161.999
Cnot3,2774.186,3093.522,3112.783,3147.554,3609.631,2737.97,2925.573,2183.034,2579.379
Cnot4,739.001,685.999,671,758.001,814,667,593.999,554,675.001
Cnot6,6748,6255,7721,8816,7335,7710,5042,5627,6187
Cnot6l,2253,2286,3695,3420,2200,3537.001,2659,2043,1534.001
Cnot7,2559.001,2516,3168,2856,2982,3455,2590,2725,2425
Cnot8,1330,1243,1292,1415,1776,1291,1559,1629,1326
Cnp,907,846,1003,1016,1377,1240,1263,1175,1079
Cnppd1,1116,962,1015,984,1277,1067,1181,1054,1020
Cnpy1,0,0,0,4,9,11,2,2,3
Cnpy2,1199,1711,1492,1439,2397,1888,1634,1605,1572
Cnpy3,1088,1184,1277,1155,1317,1289.999,1084,960,1024.001
Cnpy4,563,555,631,705,652,635,332,435,398
