"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Regulation"
"Itsn1",1350.90350672265,0.0351502765584444,0.130234543484408,0.269899794770291,0.787237345067329,1,"Not Significant"
"Itsn2",1657.44584958035,-0.0774529445309353,0.169724641772235,-0.456344722382002,0.648142108954114,1,"Not Significant"
"Ivd",1461.24043985155,0.212031414829399,0.133137670187002,1.59257266956516,0.111256088753072,0.585607111562351,"Not Significant"
"Ivl",40.2425384995513,-1.39420292975193,0.577000695075887,-2.41629332798042,0.0156794244901408,0.162565015335058,"Not Significant"
"Ivns1abp",6976.23041439503,0.0888995800912362,0.128639114801923,0.691077361874908,0.489516925882968,1,"Not Significant"
"Iws1",2488.09260084556,-0.126342576950728,0.14635636691359,-0.863253028310833,0.387998363715389,0.975115795900896,"Not Significant"
"Iyd",1.66686555820537,-1.07859340594364,1.78508703573705,-0.604224547235195,0.545694362891661,1,"Not Significant"
"Izumo1",5.33687447561688,0.612593176298669,1.38766315709262,0.441456684331197,0.658882413310742,1,"Not Significant"
"Izumo1r",0.617147429300295,0.931761840022544,3.64130711691515,0.25588663908468,0.798038371711917,1,"Not Significant"
"Izumo4",20.5861110485092,0.440897314040346,0.601921588354421,0.732482972152078,0.463873832126964,1,"Not Significant"
"Jade1",1326.57107487054,-0.251960990244895,0.199153450191032,-1.26516005624411,0.20581395794552,0.786476841567854,"Not Significant"
"Jade2",747.141025795919,0.000659188284328494,0.302845332122833,0.00217664997412319,0.998263285962744,1,"Not Significant"
"Jade3",765.550712563602,0.112162408204368,0.125232089760668,0.895636321478965,0.370447030298504,0.96264540402465,"Not Significant"
"Jag1",1015.98984023931,-0.736560632554284,0.196749820771247,-3.74364067863956,0.000181372978160425,0.00488527928990805,"Downregulated"
"Jag2",5731.70794409946,-0.714677787469346,0.131789437358147,-5.42287608017599,5.86476517929281e-08,4.8472837486589e-06,"Downregulated"
"Jagn1",1334.96541490407,-0.146642661978652,0.191737717686931,-0.764808634147244,0.444385505637221,1,"Not Significant"
"Jak1",3459.0308005994,0.0550631681461951,0.125349215282494,0.439278124095965,0.660460023208311,1,"Not Significant"
"Jak2",1296.40608870211,-0.0870795394971694,0.16839616360161,-0.517111183739206,0.605078547018497,1,"Not Significant"
"Jak3",702.196893238146,0.552713335793533,0.250369967220801,2.20758640474677,0.0272731177157845,0.239803215898486,"Not Significant"
"Jakmip1",755.611370542366,1.30119301718175,0.263853593806255,4.93149628326534,8.16021208556667e-07,4.79809517326507e-05,"Upregulated"
"Jakmip2",2.14335411058337,2.01205533654955,2.58731747769798,0.777660783376204,0.436769017240557,1,"Not Significant"
"Jakmip3",3.59108450837999,4.64068368234626,2.27283810717406,2.04180124739121,0.0411712504843274,0.314738819524793,"Not Significant"
"Jam2",9.66719050205339,-0.538553533767573,0.82294900669376,-0.654419082333229,0.512841843675704,1,"Not Significant"
"Jam3",1.26165470654664,2.10666171760666,2.58557485818342,0.814774985508159,0.415201121910812,0.990522902142718,"Not Significant"
"Jarid2",1093.53766220821,0.237275321039228,0.178028129938906,1.33279679520676,0.182598497726843,0.749822094485528,"Not Significant"
"Jazf1",0.976033656211777,0.722946315038339,3.29611506846408,0.219332850953901,0.826390773489549,1,"Not Significant"
"Jchain",0.312569033502676,-0.852601187162573,4.04627048460526,-0.210712850365897,0.833111346593483,1,"Not Significant"
"Jdp2",890.507430666978,-0.107074345506165,0.366483786739886,-0.292166664339127,0.770159198180532,1,"Not Significant"
"Jkamp",707.710919331323,0.0218847524710808,0.129256297101514,0.169312853314166,0.865550566457338,1,"Not Significant"
"Jmjd1c",1336.50296187489,0.0806919918603854,0.170033413619103,0.474565499467922,0.635096701898212,1,"Not Significant"
"Jmjd4",560.988602718811,-0.0738035557206753,0.244049098332868,-0.302412736719117,0.762337446524538,1,"Not Significant"
"Jmjd6",1823.04501455184,-0.184201801828735,0.183045003881691,-1.0063197460871,0.314261784834608,0.915156223013462,"Not Significant"
"Jmjd7",353.810987201479,0.00864522974946667,0.165690041918727,0.0521771233162418,0.958387561047622,1,"Not Significant"
"Jmjd8",730.321875334078,0.231186471332702,0.241468324918638,0.957419452056911,0.338355584119115,0.939998112023648,"Not Significant"
"Jmy",1679.47189184669,0.000805974906625763,0.208784659538742,0.00386031669379526,0.996919920560127,1,"Not Significant"
"Josd1",2693.95143453697,-0.2420028762652,0.130069230783818,-1.86056975048481,0.0628049599158347,0.413507470004088,"Not Significant"
"Josd2",425.726455011357,0.129133199085637,0.294899196515488,0.437889287632747,0.661466541428743,1,"Not Significant"
"Jph1",461.336048836516,-0.69417015402732,0.22294310293665,-3.11366507814584,0.00184779110490977,0.0318357873551908,"Downregulated"
"Jph2",0.20871655602764,1.80048185431372,4.03868453211067,0.445808985574013,0.655735230540989,1,"Not Significant"
"Jph3",1.68297016406369,-0.300506907022901,1.93216090862663,-0.155528923953078,0.876404353352292,1,"Not Significant"
"Jph4",2.81625685375229,2.18845204236138,1.63152051812305,1.34135735226857,0.179804457194717,0.745394699310769,"Not Significant"
"Jpx",18.7984444407411,0.29137425678851,0.620739808699999,0.469398373851241,0.638784910508812,1,"Not Significant"
"Jrk",373.019855320369,-0.228992479501591,0.220747502598423,-1.03735026129907,0.299572649728154,0.900798144375988,"Not Significant"
"Jrkl",244.252894902712,-0.0432206686160812,0.264646418796455,-0.163314768484825,0.870270606442971,1,"Not Significant"
"Jsrp1",0.312095804784194,2.38127620455196,3.99544919334088,0.595997118051401,0.551177151992343,1,"Not Significant"
"Jtb",1076.9574492088,0.0376008146531264,0.141524023774705,0.265685031065708,0.790481792656934,1,"Not Significant"
"Jun",1501.56843159529,1.46845980589475,0.222276962630861,6.60644174958179,3.93667061910034e-11,6.96750935231073e-09,"Upregulated"
"Junb",4698.99557064078,-0.418182990232228,0.189212192436,-2.21012707927728,0.0270963439907243,0.239305513813242,"Not Significant"
"Jund",13039.4869171897,0.0538493015769363,0.19378232164145,0.277885521861856,0.781100238241586,1,"Not Significant"
"Jup",6594.58220717768,0.045538256038446,0.234328616357593,0.194335018685695,0.845913567331048,1,"Not Significant"
"Kalrn",3.31919946825828,1.20701059785735,1.65688414174226,0.728482195857183,0.46631846351385,1,"Not Significant"
"Kank1",1064.87941432035,-0.0521955645562761,0.374425468213386,-0.139401747443445,0.889132691583195,1,"Not Significant"
"Kank2",404.23985396061,0.0239277709824933,0.237643940238269,0.100687486323036,0.919798545355398,1,"Not Significant"
"Kank3",142.91094253058,-0.277699361686432,0.27168234061616,-1.02214726601893,0.306711205171465,0.907802996117299,"Not Significant"
"Kank4",1.05608772930414,0,3.65450927425429,0,1,1,"Not Significant"
"Kank4os",1.43531020240625,-0.460842006114995,2.69311900221106,-0.171118322560809,0.864130729039301,1,"Not Significant"
"Kansl1",1652.92150605968,0.28001614946511,0.137933048455056,2.030087441708,0.0423476518166644,0.320110248115441,"Not Significant"
"Kansl1l",280.55024287176,-0.155606631020443,0.242313365348939,-0.642171061412002,0.520762120360692,1,"Not Significant"
"Kansl2",2778.10518545281,-0.0396400825889649,0.129500587216969,-0.306099635846057,0.759528785180767,1,"Not Significant"
"Kansl3",1658.8264952927,0.0887031163241402,0.161808251827156,0.548198965890151,0.583555292100082,1,"Not Significant"
"Kantr",75.0582272005886,0.248756005044795,0.413351829540971,0.601802114486924,0.547305867458645,1,"Not Significant"
"Kars",7788.08788518671,-0.0763910988706716,0.134396763686306,-0.568399839217672,0.569763499581992,1,"Not Significant"
"Kat2a",2931.82317695905,-0.0648118420169672,0.1942974215167,-0.333570263110241,0.738703860778682,1,"Not Significant"
"Kat2b",837.144181125241,-0.0165645272779117,0.170713662435781,-0.0970310579807452,0.92270173011121,1,"Not Significant"
"Kat5",1227.45602840804,0.0504233923677906,0.111401099471126,0.452629216472498,0.650815756968465,1,"Not Significant"
"Kat6a",2853.65568172353,-0.116316385056363,0.213522343491321,-0.544750414193029,0.585925186391449,1,"Not Significant"
"Kat6b",473.536583904001,0.234088290958526,0.193936612641482,1.20703506042601,0.227418641996652,0.817537720610109,"Not Significant"
"Kat7",3206.45480144888,-0.0149777160854293,0.114816192067664,-0.130449510785052,0.896210797267656,1,"Not Significant"
"Kat8",557.320705457617,0.0684789638689547,0.20254736834792,0.338088637870263,0.735296392601313,1,"Not Significant"
"Katna1",1202.73387732732,-0.0076555347955668,0.129129877610686,-0.0592855421008566,0.952724676591119,1,"Not Significant"
"Katnal1",70.7066195691499,1.57531818671073,0.620789731513385,2.53760348591843,0.01116143635889,0.127657106971587,"Not Significant"
"Katnal2",17.6752899022755,0.753926317721465,0.578011447084766,1.30434495981686,0.192115992412574,0.765058277057528,"Not Significant"
"Katnb1",737.094368169342,0.0581050045725545,0.170948138146587,0.339898434709653,0.733933015460782,1,"Not Significant"
"Katnbl1",1270.57427878645,-0.294512787470501,0.169340953006248,-1.73917048559207,0.0820047793193626,0.489236548598526,"Not Significant"
"Kazald1",10.4347221719671,0.249670351991959,1.01516858292355,0.245939793834973,0.805728838665696,1,"Not Significant"
"Kazn",910.259324044116,0.175487929665751,0.160214611603616,1.09533036911717,0.273371927337894,0.877293573409263,"Not Significant"
"Kbtbd11",262.47388916677,0.786279096241005,1.21964796689819,0.644677085176204,0.519136469013818,1,"Not Significant"
"Kbtbd13",9.8450594763859,3.40851335099404,1.49840112429946,2.27476694706006,0.0229199140149553,0.214531374663486,"Not Significant"
"Kbtbd2",1346.7624049712,-0.270371148361869,0.157246288654124,-1.71941195354107,0.0855393871842506,0.501781433626528,"Not Significant"
"Kbtbd3",69.3406809598584,-0.115627391246806,0.386888592247019,-0.298864824561642,0.765043187053583,1,"Not Significant"
"Kbtbd4",449.006516723039,-0.171925157473379,0.179266293675972,-0.959048987670474,0.337534067159627,0.939726167699252,"Not Significant"
"Kbtbd6",65.2682200222298,-0.026057195220309,0.300679418067033,-0.0866610537822042,0.930940934484154,1,"Not Significant"
"Kbtbd7",349.888930271505,0.233859912010197,0.230142463189854,1.01615281582033,0.309556621451016,0.910992798297732,"Not Significant"
"Kbtbd8",409.052167167562,-0.0911483523053392,0.286891213038594,-0.31771050545587,0.750704541609859,1,"Not Significant"
"Kcmf1",3433.24437588617,-0.169562500972401,0.116490673760995,-1.45558863639414,0.145506371266021,0.67980012338398,"Not Significant"
"Kcna1",0.238051802294869,0,4.08045587180296,0,1,1,"Not Significant"
"Kcna3",1.35117271371746,-0.2022229412574,3.76818929070083,-0.0536658128498077,0.95720142092638,1,"Not Significant"
"Kcna4",0.111194753476179,-1.00967754678275,4.08045587181216,-0.247442339410559,0.804565910578235,1,"Not Significant"
"Kcna7",8.77405798482655,0.52993403961299,0.949135273530895,0.558333521460616,0.576616658707903,1,"Not Significant"
"Kcnab1",1.60702193214398,1.33477615315598,1.83246906163829,0.728403104368178,0.466366863502104,1,"Not Significant"
"Kcnab2",0.683152565308388,1.83147467951637,3.6256878505862,0.505138543358127,0.61346153155001,1,"Not Significant"
"Kcnab3",36.6670301969397,0.0701297813680629,0.606553092174594,0.115620186052693,0.907953564043373,1,"Not Significant"
"Kcnb1",8.64334924124063,0.737052657987346,1.28069260490567,0.575510981451817,0.564945765950248,1,"Not Significant"
"Kcnb2",0.649128911929336,3.43458261074497,3.94973974095432,0.869571879668994,0.384534410769511,0.972270038209124,"Not Significant"
"Kcnc3",192.188699228974,-0.0513270245168536,0.441280587426973,-0.116313805726493,0.907403844489937,1,"Not Significant"
"Kcnd1",4.76330403479821,-0.183057237392948,1.52296369764649,-0.120198030771078,0.904326277684273,1,"Not Significant"
"Kcnd2",1.17125073497348,1.75973324496643,2.38592422318059,0.737547834868198,0.460789264891876,1,"Not Significant"
"Kcne1l",0.119025901147434,0,4.08045587181216,0,1,1,"Not Significant"
"Kcne2",0.884731648265855,2.78902630389292,3.40609610727799,0.818833707579024,0.412881296539557,0.989800194495135,"Not Significant"
"Kcne3",473.278133264338,1.36913836856992,0.699435980968451,1.9574891853207,0.0502899820435298,0.360991833415292,"Not Significant"
"Kcnf1",195.975078534805,0.209120957273909,0.429942535427733,0.486392808438603,0.626688688451851,1,"Not Significant"
"Kcng2",0.110592603604057,0.913867797977817,4.08045587181216,0.223962181355967,0.822786730659797,1,"Not Significant"
"Kcng3",2.01190894635159,-2.73067676408747,2.13466658296901,-1.27920528005339,0.200824777007448,0.780358826166119,"Not Significant"
"Kcnh1",0.698493111542095,-1.93488468414421,4.03527227323877,-0.479492969278932,0.631587968721308,1,"Not Significant"
"Kcnh2",93.0402119479572,2.18327811334029,0.646542879043644,3.37684967866287,0.000733211087061862,0.0153492528882891,"Upregulated"
"Kcnh3",28.1274456425564,3.41479450875323,0.815377588462771,4.18799162139241,2.81433904095502e-05,0.00104476374312741,"Upregulated"
"Kcnh5",0.539751951941785,1.9055286769782,3.97028393662669,0.479947708374029,0.631264576247077,1,"Not Significant"
"Kcnh6",1.97024244394702,3.99880293821284,3.11831925256875,1.28235841629069,0.199716944478478,0.778518420723445,"Not Significant"
"Kcnh7",0.100988214949309,-1.00967754678275,4.08045587181216,-0.247442339410559,0.804565910578235,1,"Not Significant"
"Kcnh8",3.21634636289611,2.17583035576084,1.46194806312555,1.48830892877895,0.136669441333472,0.658795584881734,"Not Significant"
"Kcnip2",0.346647360293342,-1.00969306517628,4.08045587180321,-0.247446142513994,0.804562967630388,1,"Not Significant"
"Kcnip3",1.47221962494307,-0.343740445083279,2.90246197544853,-0.118430645428235,0.905726445097606,1,"Not Significant"
"Kcnip4",7.79950080325942,0.27133588522788,1.10499201747388,0.245554611198169,0.806027028526639,1,"Not Significant"
"Kcnj1",0.885807098074562,-0.538804404031504,2.95293797199667,-0.182463840805699,0.85521872883592,1,"Not Significant"
"Kcnj10",1.42165654545504,-0.672055655861983,1.8434721962013,-0.364559691893827,0.715440108124531,1,"Not Significant"
"Kcnj11",2.01655209099842,3.33272322371805,2.8328323197111,1.17646328747687,0.239409794612626,0.834439343466687,"Not Significant"
"Kcnj12",0.114702204983179,0,4.08045587181216,0,1,1,"Not Significant"
"Kcnj13",1.4272622736769,3.03177779756902,2.5389479381066,1.19410790275201,0.232435762297447,0.824971455494787,"Not Significant"
"Kcnj14",12.079077386,-0.475349899282634,0.75239439235027,-0.631782884236781,0.527528759252877,1,"Not Significant"
"Kcnj15",0.117726303408582,0,4.08045587181216,0,1,1,"Not Significant"
"Kcnj2",19.5022374066331,3.11188420903757,1.24213343046975,2.50527369500127,0.012235667076821,0.136382543587823,"Not Significant"
"Kcnj4",2.04352146158097,-2.20403559030846,2.30100307309673,-0.9578586035273,0.338134063254594,0.939994456028399,"Not Significant"
"Kcnj8",0.196247904847166,1.72407902807382,4.04573492752307,0.426147303014081,0.670000513556677,1,"Not Significant"
"Kcnj9",1.97625619811152,0.228658349042599,2.5259667046611,0.0905231049248042,0.927871534250355,1,"Not Significant"
"Kcnk1",4923.33487352042,0.0828995313677556,0.184481586074153,0.449364801831407,0.653168518142744,1,"Not Significant"
"Kcnk12",0.117726303408582,0,4.08045587181216,0,1,1,"Not Significant"
"Kcnk16",3.48998410001722,4.52027136716076,1.69805079003136,2.66203543127074,0.00776697023356169,0.0968632401654576,"Not Significant"
"Kcnk2",98.4991831570798,-0.884338600807302,0.548329124019347,-1.61278794444648,0.106790586150127,0.572928551905241,"Not Significant"
"Kcnk3",0.565505916942784,2.46177922131569,3.99068546107701,0.616881296540796,0.53731302428143,1,"Not Significant"
"Kcnk4",1.33641005501662,3.63425201190772,2.62531008259981,1.38431343253319,0.16626250275723,0.722532632269887,"Not Significant"
"Kcnk5",201.232300918037,0.578932187838405,0.30613270635071,1.89111511389826,0.0586089793949885,0.396236692940041,"Not Significant"
